date,value
20080113,8
20100321,3
20060117,3
20141205,4
20060807,6
20190612,5
20081207,3
20091125,4
20110725,8
20181006,3
20110423,3
20120101,11
20060930,7
20140806,5
20140312,3
20191120,3
20080517,10
20100319,6
20150904,6
20201206,4
20150401,2
20150427,4
20131220,2
20070525,5
20110802,6
20160829,6
20190523,4
20121205,3
20110213,4
20191102,5
20090906,6
20130310,5
20060304,5
20201213,6
20070514,7
20200702,10
20080114,1
20080903,4
20080920,6
20060806,10
20201021,6
20181023,4
20081118,5
20180616,3
20090101,6
20150702,3
20160805,7
20150614,4
20150919,7
20090424,4
20060125,2
20141109,4
20200111,5
20090626,8
20080927,7
20160508,5
20110227,5
20190820,4
20130827,2
20130711,1
20061123,3
20100929,6
20160903,7
20110924,6
20081114,4
20201105,8
20091002,5
20071003,5
20200707,6
20100318,9
20130707,9
20110123,3
20110813,7
20100221,5
20110919,4
20060917,11
20101016,3
20100705,10
20080605,3
20180331,3
20130928,5
20120204,5
20200422,2
20090607,9
20100121,1
20110618,8
20121216,3
20111205,5
20131014,5
20090502,8
20190117,2
20080701,3
20070819,5
20060826,6
20081104,4
20071214,2
20091215,2
20131203,4
20201109,4
20140414,9
20190601,7
20100630,11
20090725,8
20120611,7
20121015,4
20080215,4
20200909,3
20060618,13
20120823,3
20140420,5
20080615,4
20140704,6
20081129,2
20070909,14
20110827,8
20070404,5
20150205,4
20101003,5
20150612,11
20070627,6
20060830,4
20121117,7
20080311,4
20070822,7
20200921,5
20200625,6
20090116,3
20110105,3
20061019,4
20160116,4
20111004,6
20120813,2
20150326,3
20180520,4
20191219,3
20090503,4
20100214,5
20180202,2
20060630,8
20100409,5
20191019,1
20070730,3
20171215,3
20060723,5
20071231,2
20101204,5
20150322,3
20090719,14
20200831,10
20110904,21
20180813,3
20180803,4
20100711,8
20110410,3
20170822,3
20160916,5
20141017,7
20110215,1
20150925,6
20191230,2
20071014,3
20100814,9
20170827,4
20080518,3
20101210,4
20060430,3
20180524,2
20100822,9
20070605,5
20190824,3
20060505,7
20141110,3
20060813,9
20080123,1
20080928,11
20180716,3
20060103,4
20120302,4
20060614,4
20160411,5
20070628,5
20100404,8
20111014,8
20200107,5
20111202,6
20120510,4
20161211,6
20070703,6
20191127,5
20180607,4
20070814,4
20180617,6
20100628,6
20110320,3
20111021,5
20070722,10
20060316,4
20100421,4
20160612,5
20120617,6
20201023,6
20201127,9
20100703,5
20070121,2
20200313,2
20130901,6
20110305,6
20120513,8
20170513,1
20120528,7
20151120,3
20120305,2
20080712,8
20110710,9
20130318,4
20111017,9
20150408,3
20140713,7
20171103,5
20171213,3
20161206,2
20131024,2
20120304,3
20120320,6
20111020,5
20150831,6
20141215,4
20080922,6
20190715,3
20100629,6
20130406,3
20100626,10
20091016,3
20070624,10
20150625,3
20071013,6
20130815,6
20071021,9
20091101,9
20120721,9
20180106,3
20190725,2
20111108,4
20140608,6
20191114,3
20190927,4
20060920,4
20090405,5
20141024,2
20091010,4
20150710,3
20200310,4
20131031,7
20120514,5
20100517,6
20080529,4
20090622,3
20160827,3
20071016,5
20170921,2
20131215,1
20070823,4
20071117,6
20090905,8
20100610,2
20090718,8
20080220,2
20060108,4
20090314,2
20120109,2
20160713,3
20120925,7
20101114,7
20110901,3
20190617,3
20080607,5
20200822,16
20100923,5
20161113,5
20151028,2
20151008,2
20201015,8
20111211,4
20060205,6
20130527,3
20120613,7
20180902,2
20161227,2
20081217,4
20200113,3
20170730,2
20200623,10
20140110,1
20080321,4
20110911,10
20080711,6
20080303,3
20061103,2
20151205,4
20070829,2
20150224,2
20110925,12
20160603,3
20070423,8
20080813,2
20110819,2
20131206,3
20120903,6
20170606,1
20200618,7
20110316,3
20190317,3
20071001,3
20150907,3
20151221,2
20200917,4
20130522,1
20090510,10
20150327,1
20100904,2
20200110,1
20110318,2
20160604,4
20170313,1
20080625,7
20070127,4
20130427,6
20110307,1
20061120,3
20080610,6
20080514,9
20110814,4
20140920,2
20070419,4
20100728,6
20150405,4
20060627,5
20171203,3
20091112,1
20130812,7
20080329,5
20110407,4
20170622,2
20060324,4
20090714,3
20140717,4
20160529,9
20190212,3
20090123,4
20070910,8
20200715,7
20150413,3
20160918,2
20160926,5
20131208,3
20070718,3
20120918,5
20200221,4
20090409,2
20120719,3
20120516,6
20101216,3
20170809,3
20060115,3
20090205,1
20081120,2
20100901,8
20200928,3
20110206,6
20080705,12
20190708,2
20120717,3
20190811,7
20161005,4
20130311,2
20110308,2
20060228,5
20200514,2
20120827,6
20200620,15
20120725,5
20171017,2
20121027,6
20061116,3
20070528,4
20090823,12
20160803,4
20120907,8
20061220,2
20151004,7
20101021,1
20060716,7
20190413,3
20201027,3
20080304,3
20080530,2
20180414,3
20120630,8
20091114,8
20181016,2
20060821,6
20170924,3
20140604,5
20080510,7
20200907,5
20200519,4
20160625,7
20071202,5
20141025,2
20081229,4
20070506,4
20150316,1
20130113,7
20151023,1
20150801,3
20110824,3
20060410,6
20091009,7
20120815,1
20150509,7
20161210,3
20090808,7
20120424,3
20110113,2
20130602,8
20161008,3
20140918,3
20100220,4
20110726,2
20110304,2
20080415,3
20141018,4
20130627,3
20101128,4
20080330,4
20090131,2
20100304,2
20120715,10
20131222,6
20201018,8
20061127,4
20110718,5
20130624,4
20080815,3
20200525,3
20200624,3
20180426,1
20190404,2
20080207,1
20140628,4
20110531,6
20120509,2
20100921,3
20081227,6
20160225,5
20120730,7
20160520,5
20070717,8
20131018,4
20200716,10
20161231,6
20090523,4
20140216,3
20190713,5
20080729,6
20110311,2
20100317,6
20090102,3
20180208,5
20141005,6
20090727,3
20120712,5
20160526,3
20181007,3
20140530,2
20110528,6
20080704,9
20180222,1
20111210,6
20060616,2
20131011,4
20070518,7
20070902,10
20091229,3
20060731,2
20060903,3
20100802,6
20181110,2
20170905,7
20180904,4
20090222,3
20150802,4
20171005,3
20101211,6
20151026,3
20120225,7
20190729,4
20070329,2
20080909,5
20120811,8
20200410,3
20070401,4
20170722,2
20190418,7
20101225,4
20071209,7
20170501,4
20060908,6
20151224,1
20100407,4
20160618,3
20140131,6
20120116,3
20111129,3
20090407,2
20120428,2
20060222,2
20060712,3
20060504,4
20120728,10
20141124,2
20061030,5
20071217,5
20120512,12
20100613,8
20090705,6
20070603,5
20140129,3
20091102,3
20120210,2
20110505,5
20100501,4
20160110,2
20140323,4
20160929,4
20190928,1
20150530,7
20071221,3
20201227,4
20060215,3
20060628,9
20180606,1
20120407,5
20120608,4
20081231,5
20200512,2
20170522,1
20160422,1
20120927,2
20150708,5
20070422,10
20091116,5
20070610,7
20060707,4
20101125,3
20090715,1
20190209,2
20141019,3
20150729,3
20160621,2
20170810,3
20061102,4
20160626,3
20130712,2
20141208,5
20090801,9
20120729,8
20070327,4
20161105,1
20190407,5
20070701,7
20060604,6
20100525,3
20110903,11
20080831,13
20180927,2
20180422,2
20111102,3
20110412,3
20180407,2
20130909,4
20151208,3
20110220,6
20100419,4
20170731,2
20151111,2
20100228,4
20160601,7
20200511,3
20070120,5
20120217,3
20200128,2
20090208,8
20090421,3
20190527,6
20110617,4
20070630,11
20070122,1
20110510,5
20160615,5
20161230,2
20100212,7
20171121,5
20190204,3
20060612,6
20200818,5
20080918,4
20081113,3
20061125,12
20120318,4
20110905,8
20140625,4
20200408,3
20080128,2
20130609,6
20161018,3
20140527,5
20080808,4
20120313,3
20140802,9
20100815,10
20190211,2
20100420,1
20120323,4
20110207,3
20090710,7
20120325,7
20200830,13
20190321,4
20130303,4
20141006,3
20090627,1
20170707,4
20070511,2
20060822,5
20100124,6
20141220,2
20130225,2
20151210,3
20181109,4
20200321,5
20190411,1
20121221,4
20071224,8
20180709,2
20180530,2
20140715,3
20130920,6
20060104,4
20101120,7
20100605,6
20141002,3
20200308,4
20071017,4
20070529,9
20170324,2
20100411,8
20110425,8
20121003,2
20200815,21
20060201,6
20141031,3
20090712,11
20190803,4
20150111,6
20130811,12
20090509,2
20200615,7
20190605,2
20171010,6
20061204,4
20181204,4
20100516,7
20150512,3
20180424,4
20081103,2
20110327,2
20100927,1
20180726,1
20100924,13
20171025,5
20140709,2
20101228,3
20090912,3
20081012,8
20150120,6
20060611,2
20061015,7
20140901,9
20130305,2
20180419,2
20070828,3
20140518,5
20100427,1
20070227,2
20080325,3
20101106,7
20100215,1
20071006,14
20070510,5
20101226,8
20200224,2
20130116,4
20151018,5
20090301,3
20151108,3
20110928,5
20080418,8
20120726,7
20080112,2
20140708,4
20100416,4
20101121,8
20140820,9
20080803,7
20140330,2
20120410,1
20060119,6
20110418,3
20191215,2
20190113,5
20150824,3
20081205,1
20110527,5
20061230,6
20120906,4
20100116,2
20100829,9
20110801,6
20060420,3
20070128,3
20080807,4
20150523,6
20070517,7
20160123,4
20061004,5
20200227,3
20060113,6
20120216,3
20130625,9
20080820,2
20090525,7
20080826,6
20190414,5
20111016,12
20080219,2
20171012,5
20100906,8
20080804,5
20080630,2
20061021,2
20140422,5
20110702,8
20100418,4
20201010,5
20070920,2
20161119,2
20180825,3
20100502,3
20120818,7
20110605,6
20110930,5
20130207,4
20140927,7
20200916,4
20111231,9
20200930,5
20060417,3
20140429,3
20100718,13
20180114,5
20130613,2
20151216,2
20150807,2
20070901,3
20110721,6
20150418,10
20120902,9
20081202,7
20091206,4
20080624,8
20180622,3
20111120,8
20150328,5
20200515,7
20111221,4
20150621,7
20060204,6
20150825,6
20080413,2
20180713,2
20080131,3
20140801,7
20120211,7
20180630,5
20100108,3
20190525,3
20150518,4
20081219,2
20200629,9
20060824,2
20180624,4
20200120,2
20090728,5
20080609,8
20090825,3
20110627,3
20091128,5
20090818,6
20150912,8
20170703,4
20200718,6
20080125,1
20201005,6
20120221,5
20080515,2
20080513,7
20190206,2
20161002,3
20110625,4
20151017,6
20080412,9
20131111,3
20091024,5
20200305,2
20100325,3
20110427,8
20180705,11
20070113,5
20150208,2
20070609,9
20170518,2
20060705,6
20120615,5
20070104,3
20110529,10
20170218,1
20120830,8
20181102,4
20130720,10
20180504,2
20091028,3
20190516,3
20090118,5
20150810,2
20100726,5
20090822,7
20100118,6
20071025,5
20160228,2
20190826,4
20100807,14
20061118,7
20140607,6
20181119,4
20101212,5
20110820,3
20130103,6
20120825,6
20100207,3
20070725,4
20191227,3
20170321,3
20190419,2
20060910,7
20100926,5
20200724,8
20131115,4
20070110,2
20080829,2
20170302,1
20110906,2
20101023,5
20070512,6
20110306,3
20080601,6
20111112,6
20130224,4
20071120,5
20121201,3
20191218,2
20080316,7
20140627,2
20070806,3
20130605,3
20160820,4
20120930,9
20060311,6
20070830,9
20201121,5
20130723,3
20091129,7
20070612,4
20141228,7
20150429,5
20170308,5
20180707,1
20090216,3
20150717,6
20170201,1
20170819,3
20200712,11
20130701,5
20180217,2
20080708,5
20100216,5
20071225,5
20081020,2
20100505,2
20110921,6
20110405,1
20070226,2
20061229,3
20080809,9
20141230,4
20161030,8
20120404,4
20060209,2
20150110,3
20081004,8
20060326,5
20160109,5
20170515,2
20080901,10
20100425,2
20120506,4
20140712,7
20080423,5
20100719,12
20100402,3
20170830,4
20140301,4
20120627,5
20151128,2
20060525,4
20070107,3
20110119,1
20161015,5
20181215,5
20120321,4
20100912,6
20120610,5
20150624,3
20101031,7
20140915,1
20060922,3
20160620,6
20091107,7
20081116,2
20150511,4
20070210,6
20090613,11
20200829,11
20141206,5
20131201,2
20150709,2
20201022,9
20160802,4
20200807,3
20090811,2
20200104,3
20130913,5
20201028,6
20070606,6
20140302,2
20060226,2
20190127,1
20130420,6
20070522,4
20100722,4
20071223,6
